,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,DATEYR,LATDD,LONDD
341,BY0020,6.1739999999999995,0.0,0,30,1.0,0.0,1967.0,53.77972,31.75
342,BY0021,6.7200000000000015,0.0,0,30,1.0,0.0,1967.0,53.15,25.45
343,BY0022,9.587499999999999,0.0,0,30,1.0,0.0,1967.0,53.04972,24.01
344,BY0023,0.0,53.02799999999999,0,30,0.0,1.0,1967.0,53.72972,24.29972
345,BY0024,2.8800000000000003,0.0,0,30,1.0,0.0,1967.0,53.84972,25.12
346,BY0025,2.9370000000000003,0.0,0,30,1.0,0.0,1967.0,53.33,23.95972
347,BY0027,4.1125,0.0,0,30,1.0,0.0,1968.0,52.93,26.52
348,BY0028,0.0,27.215999999999998,0,30,0.0,1.0,1969.0,56.08,28.21972
349,BY0029,3.885,0.0,0,30,1.0,0.0,1969.0,52.65,25.87972
350,BY0030,4.136,0.0,0,30,1.0,0.0,1969.0,55.7,30.1
351,BY0034,2.919,0.0,0,30,1.0,0.0,1972.0,55.22972,26.79972
352,BY0036,0.0,50.5952,0,30,0.0,1.0,1974.0,55.43,29.42
353,BY0037,2.7245999999999997,0.0,0,30,1.0,0.0,1974.0,54.16972,30.42
354,BY0038,4.2192,0.0,0,30,1.0,0.0,1974.0,53.27,30.82972
355,BY0040,5.3856,0.0,0,30,1.0,0.0,1974.0,52.02,27.56972
356,BY0042,10.903,0.0,0,30,1.0,0.0,1976.0,51.88,27.02
357,BY0043,5.8866,0.0,0,30,1.0,0.0,1976.0,52.27972,27.25
358,BY0044,8.9012,0.0,0,30,1.0,0.0,1976.0,51.84972,26.81972
359,BY0045,2.719,0.0,0,30,1.0,0.0,1977.0,54.33,29.32972
360,BY0046,3.9366000000000003,0.0,0,30,1.0,0.0,1977.0,53.18,27.97972
361,BY0048,1.6143999999999998,0.0,0,30,1.0,0.0,1978.0,53.68,29.31972
362,BY0051,2.181,0.0,0,30,1.0,0.0,1979.0,52.2,31.22972
363,BY0052,3.024,0.0,0,30,1.0,0.0,1979.0,52.91972,31.27
364,BY0053,2.4459999999999997,0.0,0,30,1.0,0.0,1979.0,52.95,31.12972
365,BY0055,3.0079000000000002,0.0,0,30,1.0,0.0,1979.0,52.15,31.21972
366,BY0060,2.2104,0.0,0,30,1.0,0.0,1981.0,55.52972,28.56972
367,BY0061,1.6188000000000002,0.0,0,30,1.0,0.0,1981.0,53.47972,31.52
368,BY0063,6.6366000000000005,0.0,0,30,1.0,0.0,1983.0,52.5,29.32972
369,BY0065,5.464199999999999,0.0,0,30,1.0,0.0,1989.0,54.22972,28.72972
370,BY0066,5.6472000000000016,0.0,0,30,1.0,0.0,1989.0,53.61972,28.42
371,BY0067,68.4036,0.0,0,30,1.0,0.0,1990.0,54.47,29.45
372,BY0068,0.0,51.516000000000005,0,30,0.0,1.0,1990.0,54.86972,27.03
