,profile_id,orgc_stock_mineral,orgc_stock_organic,top_cm,bot_cm,mineral_fraction,organic_fraction,obs_date_yyyy,lat_dd,long_dd
9660,S1990CA029015_90P0584,2.5520300000000002,0.0,0.0,30.0,1.0,0.0,1990,35.04667,-119.2825
9661,90CA029016_90P0585,1.3256000000000001,0.0,0.0,30.0,1.0,0.0,1905,35.05999,-119.3001
9662,90CA029017_90P0586,1.9595699999999998,0.0,0.0,30.0,1.0,0.0,1905,35.08471,-119.21204
9663,90CA029019_90P0588,1.4303599999999999,0.0,0.0,30.0,1.0,0.0,1905,34.98249,-118.91814
9664,S1990CA029020_90P0589,3.8367,0.0,0.0,30.0,1.0,0.0,1990,35.15944,-119.05527
9665,S1990CA029021_90P0590,1.0329,0.0,0.0,30.0,1.0,0.0,1990,35.18722,-119.08945
9666,S1990NM009001_90P0592,1.44058,0.0,0.0,30.0,1.0,0.0,1990,34.40278,-103.61611
9667,S1990NM009002_90P0593,3.1260000000000003,0.0,0.0,30.0,1.0,0.0,1990,34.33889,-103.64417
9668,S1990NM009003_90P0594,9.503,0.0,0.0,30.0,1.0,0.0,1990,34.34611,-103.66194
9669,S1990NM009005_90P0596,4.03259,0.0,0.0,30.0,1.0,0.0,1990,34.64556,-103.49917
9670,S1990NM009006_90P0597,2.7995,0.0,0.0,30.0,1.0,0.0,1990,34.64139,-103.49611
9671,S1990NM009007_90P0598,2.7389,0.0,0.0,30.0,1.0,0.0,1990,34.4575,-103.49445
9672,S1990NM009009_90P0600,1.2870000000000001,0.0,0.0,30.0,1.0,0.0,1990,34.38694,-103.51305
9673,S1990NM009010_90P0601,0.29610000000000003,0.0,0.0,30.0,1.0,0.0,1990,34.375,-103.50889
9674,S1990NM009011_90P0602,0.7177,0.0,0.0,30.0,1.0,0.0,1990,34.34361,-103.68555
9675,S1988NC153001_90P0603,2.68985,0.0,0.0,30.0,1.0,0.0,1988,35.13722,-79.885
9676,90FN455006_90P0616,1.9609500000000002,0.0,0.0,30.0,1.0,0.0,1990,16.0,78.0
9677,90FN455009_90P0618,1.8165800000000003,0.0,0.0,30.0,1.0,0.0,1990,9.9,78.0
9678,90FN455011_90P0619,0.9225799999999998,0.0,0.0,30.0,1.0,0.0,1990,9.0,78.0
9679,90FN455012_90P0620,1.4108,0.0,0.0,30.0,1.0,0.0,1990,9.5,78.1
9680,90FN455013_90P0621,1.74077,0.0,0.0,30.0,1.0,0.0,1990,9.0,78.0
9681,90FN455014_90P0622,1.2176,0.0,0.0,30.0,1.0,0.0,1990,9.0,78.0
9682,S1990LA037002_90P0659,3.9846900000000005,0.0,0.0,30.0,1.0,0.0,1990,30.74667,-91.29139
9683,S1990KY137011_90P0660,4.6704,0.0,0.0,30.0,1.0,0.0,1990,37.4825,-84.6375
9684,S1990KY137012_90P0661,10.453960000000002,0.0,0.0,30.0,1.0,0.0,1990,37.48389,-84.63889
9685,S1990KY137013_90P0662,6.354300000000001,0.0,0.0,30.0,1.0,0.0,1990,37.48361,-84.64222
9686,S1990KY137016_90P0665,3.1408499999999995,0.0,0.0,30.0,1.0,0.0,1990,37.48479,-84.66798
9687,90FN610001_90P0737,2.8972000000000007,0.0,0.0,30.0,1.0,0.0,1990,32.35,-8.85
9688,90FN610002_90P0738,4.404399999999999,0.0,0.0,30.0,1.0,0.0,1990,33.15,-7.38333
9689,S1990NC153001_90P0773,2.1285000000000003,0.0,0.0,30.0,1.0,0.0,1990,35.13639,-79.86889
9690,S1990TX359001_90P0855,5.77641,0.0,0.0,30.0,1.0,0.0,1990,35.275,-102.27944
9691,S1990TX381001_90P0860,6.1345600000000005,0.0,0.0,30.0,1.0,0.0,1990,35.04167,-101.79222
9692,S1990AL099001_90P0891,7.565110000000001,0.0,0.0,30.0,1.0,0.0,1990,31.28667,-87.61639
9693,S1990AL099002_90P0892,5.935919999999999,0.0,0.0,30.0,1.0,0.0,1990,31.28695,-87.61639
9694,90FN291001_90P0931,6.59814,0.0,0.0,30.0,1.0,0.0,1990,-5.45,14.9
9695,90FN291002_90P0932,7.4643,0.0,0.0,30.0,1.0,0.0,1990,-5.45,14.9
9696,90FN291003_90P0933,8.8507,0.0,0.0,30.0,1.0,0.0,1990,-5.45,14.9
9697,90FN291005_90P0935,1.92916,0.0,0.0,30.0,1.0,0.0,1990,-6.76667,23.96667
9698,90FN291007_90P0937,4.649520000000001,0.0,0.0,30.0,1.0,0.0,1990,-6.76667,23.96667
9699,90FN291012_90P0942,1.935,0.0,0.0,30.0,1.0,0.0,1990,-5.26667,18.08528
9700,S1990OK103001_90P0946,5.1806,0.0,0.0,30.0,1.0,0.0,1990,36.3025,-97.31528
9701,S1990OK103005_90P0950,5.302290000000001,0.0,0.0,30.0,1.0,0.0,1990,36.55583,-97.21361
9702,S1990OK103006_90P0951,5.49048,0.0,0.0,30.0,1.0,0.0,1990,36.55194,-97.22305
9703,S1990CO083001_90P0993,14.04607,0.0,0.0,30.0,1.0,0.0,1990,37.48,-108.17917
9704,S1990CO083002_90P0994,23.4497,0.0,0.0,30.0,1.0,0.0,1990,37.48028,-108.18861
9705,S1990UT025009_90P1021,2.5004299999999997,0.0,0.0,30.0,1.0,0.0,1990,37.04389,-112.20139
9706,90FN800002_90P1097,3.44776,0.0,0.0,30.0,1.0,0.0,1990,1.67306,44.40861
9707,90FN800003_90P1098,1.9482399999999997,0.0,0.0,30.0,1.0,0.0,1990,1.93639,44.81833
9708,90FN800005_90P1100,2.04,0.0,0.0,30.0,1.0,0.0,1990,2.75056,45.34972
9709,S1990TX137101_90P1107,13.948780000000001,0.0,0.0,30.0,1.0,0.0,1990,30.29028,-100.55
9710,S1990TX137101B_90P1109,11.784930000000001,0.0,0.0,30.0,1.0,0.0,1990,30.29028,-100.55
9711,S1990TX137102B_90P1113,16.1436,0.0,0.0,30.0,1.0,0.0,1990,30.29472,-100.54667
9712,S1991NM029001_91P0001,3.8860500000000004,0.0,0.0,30.0,1.0,0.0,1991,32.43972,-107.34306
